name,tm_id,season,league,apps,minutes,atk_goals,atk_xg,atk_goals_vs_xg,atk_shots,atk_shots_on_target,def_tackles,def_interceptions,def_possession_won,def_blocks,def_clearances,def_ground_duels_total,def_ground_duels_won,def_aerial_duels_total,def_aerial_duels_won,pass_total,pass_open_play_total,pass_final_third,pass_crosses,pass_long_total,pass_through_balls,carry_all_carries,carry_progressive,carry_distance_m,carry_prog_distance_m,carry_lead_to_shot,carry_lead_to_goal,carry_lead_to_chance,carry_lead_to_assist,gk_goals_conceded,gk_saves,gk_xgot_conceded,gk_goals_prevented,atk_conversion_pct,atk_xg_per_shot,def_ground_duels_pct,def_aerial_duels_pct,pass_accuracy_pct,pass_open_play_pct,pass_long_pct,carry_avg_distance_m,carry_prog_avg_distance_m,gk_save_pct,row_id,team_id,pass_long_successful,gk_goals_prevented_rate,norm_name,source,analyst_player_id,atk_goals_per90,atk_xg_per90,atk_shots_per90,atk_shots_on_target_per90,def_tackles_per90,def_interceptions_per90,def_possession_won_per90,def_blocks_per90,def_clearances_per90,def_ground_duels_total_per90,def_ground_duels_won_per90,def_aerial_duels_total_per90,def_aerial_duels_won_per90,pass_total_per90,pass_open_play_total_per90,pass_final_third_per90,pass_crosses_per90,pass_long_total_per90,pass_through_balls_per90,carry_all_carries_per90,carry_progressive_per90,carry_distance_m_per90,carry_prog_distance_m_per90,carry_lead_to_shot_per90,carry_lead_to_goal_per90,carry_lead_to_chance_per90,carry_lead_to_assist_per90,gk_goals_conceded_per90,gk_saves_per90,gk_xgot_conceded_per90,gk_goals_prevented_per90,sofascore_id,stat_bigChancesCreated,stat_bigChancesMissed,stat_keyPasses,stat_penaltiesTaken,stat_offsides,stat_km_per90,stat_sprints_per90,stat_topSpeed,stat_bigChancesCreated_per90,stat_bigChancesMissed_per90,stat_keyPasses_per90
Emerson,70.0,2025/2026,"Ligue 1, Champions League",33,2504,0.0,0.58,-0.58,15.0,2.0,57.0,40.0,97.0,10.0,74.0,151.0,88.0,48.0,30.0,1451.0,441.0,1283.0,361.0,52.0,4.0,366.0,218.0,4351.0,2326.7,4.0,0.0,9.0,3.0,,,,,0.0,0.03,58.28,61.95,88.34,81.9,11.8,11.79,10.66,,81288,27xvwccz8kpmqsefjv2b2sc0o,7.0,,,,,0.0,0.02,0.54,0.07,2.05,1.44,3.49,0.36,2.66,5.43,3.16,1.73,1.08,52.15,15.85,46.11,12.98,1.87,0.14,13.15,7.84,156.39,83.63,0.14,0.0,0.32,0.11,,,,,155997,9.0,0.0,49.0,0.0,4.0,10.19,15.17,33.87,0.32,0.0,1.76
Emerson,70.0,2026/2027,Ligue 1,4,359,0.0,0.1,-0.1,3.0,1.0,7.0,4.0,15.0,1.0,5.0,26.0,18.0,5.0,3.0,259.0,80.0,230.0,70.0,10.0,0.0,71.0,44.0,715.9,420.9,3.0,0.0,2.0,0.0,,,,,0.0,0.03,69.2,60.0,88.8,87.5,20.0,10.1,9.6,,178948265602106,27xvwccz8kpmqsefjv2b2sc0o,2.0,,,,,0.0,0.03,0.75,0.25,1.75,1.0,3.76,0.25,1.25,6.52,4.51,1.25,0.75,64.93,20.06,57.66,17.55,2.51,0.0,17.8,11.03,179.47,105.52,0.75,0.0,0.5,0.0,,,,,155997,2.0,0.0,4.0,0.0,0.0,9.71,17.0,34.31,0.5,0.0,1.0
James Milner,3333.0,2025/2026,Premier League,20,778,1.0,1.02,-0.02,8.0,2.0,15.0,6.0,40.0,1.0,19.0,46.0,19.0,16.0,6.0,487.0,138.0,423.0,103.0,9.0,1.0,74.0,42.0,697.4,337.2,1.0,0.0,2.0,0.0,,,,,12.5,0.13,41.3,37.5,86.9,74.6,33.3,9.4,8.0,,78662,e5p0ehyguld7egzhiedpdnc3w,3.0,,,,,0.12,0.12,0.93,0.23,1.74,0.69,4.63,0.12,2.2,5.32,2.2,1.85,0.69,56.34,15.96,48.93,11.92,1.04,0.12,8.56,4.86,80.68,39.01,0.12,0.0,0.23,0.0,,,,,791,1.0,0.0,8.0,1.0,1.0,11.91,15.5,34.95,0.12,0.0,0.93
Abdoulaye Faye,6107.0,2025/2026,Ligue 1,17,1446,0.0,0.59,-0.59,8.0,2.0,32.0,28.0,49.0,6.0,91.0,87.0,52.0,60.0,33.0,834.0,99.0,731.0,72.0,4.0,0.0,191.0,93.0,1768.3,742.0,0.0,0.0,0.0,0.0,,,,,0.0,0.07,59.8,55.0,87.7,72.7,0.0,9.3,8.0,,81286,70nn27vgkt6l48lvv5e66q7ww,0.0,,,,,0.0,0.04,0.5,0.12,1.99,1.74,3.05,0.37,5.66,5.41,3.24,3.73,2.05,51.91,6.16,45.5,4.48,0.25,0.0,11.89,5.79,110.06,46.18,0.0,0.0,0.0,0.0,,,,,1529051,0.0,1.0,2.0,0.0,0.0,9.27,9.6,34.33,0.0,0.06,0.12
Jonas Hofmann,7161.0,2025/2026,Bundesliga,23,1009,2.0,1.71,0.29,23.0,7.0,13.0,2.0,38.0,0.0,13.0,51.0,29.0,9.0,4.0,547.0,191.0,457.0,144.0,28.0,5.0,112.0,42.0,1082.8,258.6,3.0,0.0,5.0,2.0,,,,,8.7,0.07,56.9,44.4,83.5,75.4,3.6,9.7,6.2,,80612,7ad69ngbpjuyzv96drf8d9sn2,1.0,,,,,0.18,0.15,2.05,0.62,1.16,0.18,3.39,0.0,1.16,4.55,2.59,0.8,0.36,48.79,17.04,40.76,12.84,2.5,0.45,9.99,3.75,96.58,23.07,0.27,0.0,0.45,0.18,,,,,142390,5.0,1.0,16.0,0.0,3.0,11.76,20.8,33.09,0.45,0.09,1.43
Carlos Domínguez,7689.0,2025/2026,"La Liga, Europa League",11,724,0.0,0.55,-0.55,3.0,1.0,17.0,8.0,33.0,6.0,57.0,34.0,18.0,24.0,18.0,543.0,46.0,492.0,35.0,1.0,0.0,95.0,59.0,983.3,647.2,0.0,0.0,0.0,0.0,,,,,0.0,0.22,53.2,74.72,90.72,75.13,0.0,10.37,11.15,,79361,6f27yvbqcngegwsg2ozxxdj4,0.0,,,,,0.0,0.07,0.37,0.12,2.11,0.99,4.1,0.75,7.09,4.23,2.24,2.98,2.24,67.5,5.72,61.16,4.35,0.12,0.0,11.81,7.33,122.23,80.45,0.0,0.0,0.0,0.0,,,,,1069703,0.0,1.0,1.0,0.0,0.0,10.61,12.81,34.44,0.0,0.12,0.12
Pablo Ibáñez,8116.0,2025/2026,La Liga,37,2247,1.0,4.39,-3.39,47.0,13.0,57.0,21.0,125.0,10.0,26.0,308.0,154.0,53.0,26.0,1011.0,326.0,867.0,253.0,36.0,2.0,313.0,156.0,3646.5,1527.1,6.0,0.0,4.0,0.0,,,,,2.13,0.09,50.0,49.1,85.8,77.6,19.4,11.7,9.8,,79102,4dtdjgnpdq9uw4sdutti0vaar,7.0,,,,,0.04,0.18,1.88,0.52,2.28,0.84,5.01,0.4,1.04,12.34,6.17,2.12,1.04,40.49,13.06,34.73,10.13,1.44,0.08,12.54,6.25,146.05,61.17,0.24,0.0,0.16,0.0,,,,,1084381,1.0,3.0,19.0,0.0,3.0,11.02,17.1,34.22,0.04,0.12,0.76
Pablo Ibáñez,8116.0,2026/2027,La Liga,5,405,1.0,0.36,0.64,6.0,2.0,4.0,5.0,24.0,0.0,6.0,41.0,18.0,4.0,4.0,143.0,52.0,114.0,31.0,4.0,0.0,60.0,32.0,677.7,322.6,2.0,0.0,0.0,0.0,,,,,16.67,0.06,43.9,100.0,79.7,59.6,0.0,11.3,10.1,,178948265400565,4dtdjgnpdq9uw4sdutti0vaar,0.0,,,,,0.22,0.08,1.33,0.44,0.89,1.11,5.33,0.0,1.33,9.11,4.0,0.89,0.89,31.78,11.56,25.33,6.89,0.89,0.0,13.33,7.11,150.6,71.69,0.44,0.0,0.0,0.0,,,,,1084381,0.0,0.0,0.0,0.0,0.0,10.44,7.8,31.38,0.0,0.0,0.0
Daley Blind,12282.0,2025/2026,La Liga,31,2610,0.0,0.26,-0.26,5.0,1.0,55.0,39.0,141.0,20.0,126.0,134.0,87.0,70.0,33.0,2107.0,401.0,1883.0,305.0,10.0,6.0,584.0,319.0,6268.5,3149.6,1.0,0.0,6.0,0.0,,,,,0.0,0.05,64.9,47.1,89.4,76.1,30.0,10.7,9.9,,79432,7h7eg7q7dbwvzww78h9d5eh0h,3.0,,,,,0.0,0.01,0.17,0.03,1.9,1.34,4.86,0.69,4.34,4.62,3.0,2.41,1.14,72.66,13.83,64.93,10.52,0.34,0.21,20.14,11.0,216.16,108.61,0.03,0.0,0.21,0.0,,,,,44864,1.0,0.0,11.0,0.0,0.0,10.18,11.0,33.47,0.03,0.0,0.38
Antonín Kinsky,15322.0,2025/2026,Premier League,7,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,6.5,-0.5,,,,,,,,,,58.8,79021,22doj4sgsocqpxw45h607udje,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.43,0.93,-0.07,1031251,0.0,0.0,0.0,0.0,0.0,0.7,0.0,22.5,0.0,0.0,0.0
Antonín Kinsky,15322.0,2026/2027,Premier League,4,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,4.7,-0.3,,,,,,,,,,64.3,178948265300451,22doj4sgsocqpxw45h607udje,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,2.25,1.18,-0.08,1031251,0.0,0.0,1.0,0.0,0.0,5.75,0.2,27.5,0.0,0.0,0.25
Raúl Albiol,15452.0,2025/2026,Serie A,8,502,0.0,0.07,-0.07,1.0,0.0,7.0,6.0,19.0,6.0,60.0,18.0,9.0,15.0,7.0,253.0,33.0,218.0,17.0,1.0,0.0,66.0,29.0,641.6,271.7,0.0,0.0,0.0,0.0,,,,,0.0,0.07,50.0,46.7,86.2,51.5,100.0,9.7,9.4,,80189,bfztlrr6176xsdt2bmp0u1d2d,1.0,,,,,0.0,0.01,0.18,0.0,1.25,1.08,3.41,1.08,10.76,3.23,1.61,2.69,1.25,45.36,5.92,39.08,3.05,0.18,0.0,11.83,5.2,115.03,48.71,0.0,0.0,0.0,0.0,,,,,3041,1.0,0.0,3.0,0.0,0.0,9.47,9.7,34.48,0.18,0.0,0.54
Santi Cazorla,15799.0,2025/2026,La Liga,28,925,0.0,0.36,-0.36,7.0,1.0,17.0,4.0,59.0,3.0,7.0,82.0,49.0,11.0,6.0,543.0,206.0,470.0,160.0,15.0,2.0,138.0,63.0,1315.9,434.2,1.0,0.0,2.0,0.0,,,,,0.0,0.05,59.8,54.5,86.6,77.7,20.0,9.5,6.9,,79400,clo928vcczjp0mczavs5o7p5k,3.0,,,,,0.0,0.04,0.68,0.1,1.65,0.39,5.74,0.29,0.68,7.98,4.77,1.07,0.58,52.83,20.04,45.73,15.57,1.46,0.19,13.43,6.13,128.03,42.25,0.1,0.0,0.19,0.0,,,,,17651,3.0,0.0,27.0,0.0,0.0,10.49,6.3,31.51,0.29,0.0,2.63
Juan Rodríguez,15983.0,2025/2026,Serie A,17,1315,1.0,0.75,0.25,3.0,2.0,37.0,18.0,41.0,14.0,81.0,69.0,46.0,32.0,16.0,662.0,49.0,587.0,24.0,5.0,0.0,123.0,52.0,1069.6,516.4,0.0,0.0,0.0,0.0,,,,,33.33,0.25,66.7,50.0,88.7,49.0,20.0,8.7,9.9,,80040,5rwlg5cfv1hu7yf0ek1zxpzy3,1.0,,,,,0.07,0.05,0.21,0.14,2.53,1.23,2.81,0.96,5.54,4.72,3.15,2.19,1.1,45.31,3.35,40.17,1.64,0.34,0.0,8.42,3.56,73.2,35.34,0.0,0.0,0.0,0.0,,,,,1485391,0.0,1.0,0.0,0.0,0.0,8.4,8.6,32.84,0.0,0.07,0.0
Juan Rodríguez,15983.0,2026/2027,Serie A,4,336,0.0,0.04,-0.04,1.0,0.0,6.0,8.0,7.0,4.0,18.0,14.0,7.0,13.0,5.0,204.0,8.0,191.0,5.0,0.0,0.0,29.0,15.0,249.1,121.6,0.0,0.0,0.0,0.0,,,,,0.0,0.04,50.0,38.5,93.6,62.5,0.0,8.6,8.1,,178948265501262,5rwlg5cfv1hu7yf0ek1zxpzy3,0.0,,,,,0.0,0.01,0.27,0.0,1.61,2.14,1.88,1.07,4.82,3.75,1.88,3.48,1.34,54.64,2.14,51.16,1.34,0.0,0.0,7.77,4.02,66.72,32.57,0.0,0.0,0.0,0.0,,,,,1485391,0.0,0.0,2.0,0.0,0.0,6.9,5.4,31.53,0.0,0.0,0.54
Lewis Cook,16013.0,2025/2026,Premier League,18,872,0.0,0.08,-0.08,3.0,0.0,25.0,24.0,62.0,6.0,26.0,52.0,33.0,25.0,9.0,498.0,127.0,429.0,86.0,14.0,0.0,121.0,69.0,1550.5,968.1,1.0,0.0,4.0,0.0,,,,,0.0,0.03,63.5,36.0,86.1,67.7,35.7,12.8,14.0,,78810,1pse9ta7a45pi2w2grjim70ge,5.0,,,,,0.0,0.01,0.31,0.0,2.58,2.48,6.4,0.62,2.68,5.37,3.41,2.58,0.93,51.4,13.11,44.28,8.88,1.44,0.0,12.49,7.12,160.03,99.92,0.1,0.0,0.41,0.0,,,,,548188,0.0,0.0,11.0,0.0,0.0,10.13,18.6,36.13,0.0,0.0,1.14
Dante,16136.0,2025/2026,"Ligue 1, Europa League",15,1035,0.0,0.28,-0.28,7.0,1.0,13.0,12.0,48.0,9.0,46.0,39.0,19.0,30.0,21.0,580.0,74.0,518.0,41.0,0.0,1.0,119.0,54.0,1142.6,481.8,0.0,0.0,0.0,0.0,,,,,0.0,0.03,47.49,70.93,89.36,55.37,0.0,9.64,8.95,,81343,bx0cdmzr2gwr70ez72dorx82p,0.0,,,,,0.0,0.02,0.61,0.09,1.13,1.04,4.17,0.78,4.0,3.39,1.65,2.61,1.83,50.43,6.43,45.04,3.57,0.0,0.09,10.35,4.7,99.36,41.9,0.0,0.0,0.0,0.0,,,,,3577,0.0,0.0,2.0,0.0,1.0,9.14,8.03,31.61,0.0,0.0,0.17
Casemiro,16306.0,2025/2026,Premier League,34,2588,9.0,5.52,3.48,52.0,18.0,90.0,31.0,138.0,27.0,73.0,246.0,131.0,111.0,57.0,1600.0,436.0,1301.0,306.0,17.0,13.0,262.0,140.0,2349.4,1246.0,5.0,1.0,4.0,0.0,,,,,17.31,0.11,53.3,51.4,81.3,70.2,23.5,9.0,8.9,,78444,6eqit8ye8aomdsrrq0hk3v7gh,4.0,,,,,0.31,0.19,1.81,0.63,3.13,1.08,4.8,0.94,2.54,8.55,4.56,3.86,1.98,55.64,15.16,45.24,10.64,0.59,0.45,9.11,4.87,81.7,43.33,0.17,0.03,0.14,0.0,,,,,122951,4.0,6.0,36.0,0.0,5.0,10.03,8.3,34.14,0.14,0.21,1.25
Manuel Neuer,17259.0,2025/2026,"Bundesliga, Champions League",33,2850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,68.0,36.0,0.0,,,,,,,,,,63.47,80989,apoawtpvac4zqlancmvw4nk4o,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,2.15,1.14,0.0,8959,0.0,0.0,0.0,0.0,0.0,5.75,0.0,24.19,0.0,0.0,0.0
Nacho Pérez,23287.0,2026/2027,La Liga,5,295,0.0,0.11,-0.11,1.0,1.0,7.0,5.0,8.0,3.0,19.0,13.0,9.0,8.0,4.0,95.0,25.0,71.0,14.0,9.0,0.0,23.0,11.0,209.2,63.7,0.0,0.0,0.0,0.0,,,,,0.0,0.11,69.2,50.0,74.7,56.0,11.1,9.1,5.8,,178948265400650,4grc9qgcvusllap8h5j6gc5h5,1.0,,,,,0.0,0.03,0.31,0.31,2.14,1.53,2.44,0.92,5.8,3.97,2.75,2.44,1.22,28.98,7.63,21.66,4.27,2.75,0.0,7.02,3.36,63.82,19.43,0.0,0.0,0.0,0.0,,,,,2049311,0.0,1.0,2.0,0.0,0.0,10.42,12.8,34.74,0.0,0.31,0.61
Thomas Kristensen,23492.0,2025/2026,Serie A,28,2475,3.0,1.19,1.81,11.0,6.0,26.0,25.0,84.0,22.0,198.0,87.0,41.0,128.0,81.0,1249.0,179.0,1069.0,101.0,4.0,1.0,377.0,186.0,3784.6,1752.6,1.0,0.0,0.0,0.0,,,,,27.27,0.11,47.1,63.3,85.6,56.4,25.0,10.0,9.4,,79980,dxq76zcvnokq07cszdx0i6kve,1.0,,,,,0.11,0.04,0.4,0.22,0.95,0.91,3.05,0.8,7.2,3.16,1.49,4.65,2.95,45.42,6.51,38.87,3.67,0.15,0.04,13.71,6.76,137.62,63.73,0.04,0.0,0.0,0.0,,,,,1063373,0.0,0.0,4.0,0.0,1.0,,,,0.0,0.0,0.15
Bruno Fernandes,25158.0,2025/2026,Premier League,35,3066,9.0,10.83,-1.83,85.0,24.0,54.0,20.0,167.0,5.0,42.0,218.0,103.0,54.0,21.0,1994.0,871.0,1639.0,662.0,76.0,39.0,384.0,216.0,4222.8,2427.5,12.0,0.0,17.0,3.0,,,,,10.59,0.13,47.2,38.9,82.2,76.0,30.3,11.0,11.2,,78408,6eqit8ye8aomdsrrq0hk3v7gh,23.0,,,,,0.26,0.32,2.5,0.7,1.59,0.59,4.9,0.15,1.23,6.4,3.02,1.59,0.62,58.53,25.57,48.11,19.43,2.23,1.14,11.27,6.34,123.96,71.26,0.35,0.0,0.5,0.09,,,,,288205,33.0,8.0,137.0,6.0,4.0,10.43,17.6,34.88,0.97,0.23,4.02
Bruno Fernandes,25158.0,2026/2027,"Premier League, Champions League",5,450,4.0,2.6,1.4,19.0,7.0,5.0,1.0,20.0,1.0,2.0,22.0,9.0,2.0,1.0,316.0,143.0,271.0,113.0,16.0,5.0,67.0,30.0,594.6,230.0,5.0,1.0,2.0,0.0,,,,,21.67,0.13,42.78,20.0,85.86,79.04,32.88,8.86,7.72,,178948265300007,6eqit8ye8aomdsrrq0hk3v7gh,4.0,,,,,0.8,0.52,3.8,1.4,1.0,0.2,4.0,0.2,0.4,4.4,1.8,0.4,0.2,63.2,28.6,54.2,22.6,3.2,1.0,13.4,6.0,118.92,46.0,1.0,0.2,0.4,0.0,,,,,288205,1.0,0.0,9.0,1.0,0.0,11.01,9.0,32.4,0.2,0.0,1.8
Luka Modric,27992.0,2025/2026,Serie A,34,2816,2.0,1.53,0.47,20.0,8.0,51.0,39.0,188.0,12.0,33.0,180.0,101.0,22.0,11.0,2219.0,647.0,2006.0,537.0,21.0,6.0,595.0,266.0,5930.9,2431.5,6.0,0.0,13.0,0.0,,,,,10.0,0.08,56.1,50.0,90.4,83.0,28.6,10.0,9.1,,79938,9dntj5dioj5ex52yrgwzxrq9l,6.0,,,,,0.06,0.05,0.64,0.26,1.63,1.25,6.01,0.38,1.05,5.75,3.23,0.7,0.35,70.92,20.68,64.11,17.16,0.67,0.19,19.02,8.5,189.55,77.71,0.19,0.0,0.42,0.0,,,,,15466,6.0,0.0,53.0,0.0,0.0,9.49,8.0,33.55,0.19,0.0,1.69
Edin Dzeko,28396.0,2025/2026,"Serie A, Conference League",16,612,1.0,1.96,-0.96,17.0,7.0,1.0,1.0,12.0,4.0,11.0,35.0,15.0,47.0,30.0,196.0,77.0,143.0,47.0,3.0,1.0,51.0,24.0,539.8,182.8,0.0,0.0,4.0,0.0,,,,,4.72,0.11,41.89,62.58,72.93,61.0,38.56,10.62,7.93,,80124,4raiad4l2j5lkfaz92pk4osb,1.0,,,,,0.15,0.29,2.5,1.03,0.15,0.15,1.76,0.59,1.62,5.15,2.21,6.91,4.41,28.82,11.32,21.03,6.91,0.44,0.15,7.5,3.53,79.38,26.88,0.0,0.0,0.59,0.0,,,,,14990,1.0,5.0,9.0,0.0,2.0,10.58,13.4,33.57,0.15,0.74,1.32
Óscar Trejo,30321.0,2025/2026,"La Liga, Conference League",11,314,0.0,0.22,-0.22,3.0,2.0,11.0,1.0,9.0,0.0,3.0,51.0,21.0,5.0,2.0,206.0,89.0,179.0,72.0,9.0,1.0,43.0,25.0,429.7,188.6,1.0,0.0,1.0,0.0,,,,,0.0,0.09,41.4,42.61,86.75,80.65,46.86,10.02,6.54,,79457,3budh3j9xivsid3ptm8ptpy4k,3.0,,,,,0.0,0.06,0.86,0.57,3.15,0.29,2.58,0.0,0.86,14.62,6.02,1.43,0.57,59.04,25.51,51.31,20.64,2.58,0.29,12.32,7.17,123.16,54.06,0.29,0.0,0.29,0.0,,,,,21949,1.0,0.0,11.0,0.0,1.0,11.38,20.6,32.82,0.29,0.0,3.15
Lorenzo De Silvestri,33571.0,2025/2026,Serie A,12,491,0.0,0.0,0.0,0.0,0.0,2.0,7.0,15.0,3.0,24.0,17.0,6.0,10.0,7.0,183.0,29.0,157.0,20.0,7.0,0.0,45.0,21.0,547.0,177.1,0.0,0.0,1.0,0.0,,,,,0.0,0.0,35.3,70.0,85.8,69.0,57.1,12.2,8.4,,80270,ej5er0oyngdw138yuumwqbyqt,4.0,,,,,0.0,0.0,0.0,0.0,0.37,1.28,2.75,0.55,4.4,3.12,1.1,1.83,1.28,33.54,5.32,28.78,3.67,1.28,0.0,8.25,3.85,100.26,32.46,0.0,0.0,0.18,0.0,,,,,14718,0.0,0.0,5.0,0.0,1.0,,,,0.0,0.0,0.92
Rômulo,34175.0,2025/2026,Bundesliga,30,2204,9.0,14.48,-5.48,63.0,27.0,30.0,9.0,71.0,3.0,28.0,140.0,59.0,137.0,53.0,558.0,222.0,418.0,165.0,0.0,2.0,126.0,52.0,1267.8,447.0,9.0,3.0,4.0,0.0,,,,,14.29,0.23,42.1,38.7,74.9,74.3,0.0,10.1,8.6,,80451,9gefq4dz9b2hl8rqrxwrlrzmp,0.0,,,,,0.37,0.59,2.57,1.1,1.23,0.37,2.9,0.12,1.14,5.72,2.41,5.59,2.16,22.79,9.07,17.07,6.74,0.0,0.08,5.15,2.12,51.77,18.25,0.37,0.12,0.16,0.0,,,,,1117102,,,,,,,,,,,
Axel Witsel,35047.0,2025/2026,La Liga,32,2533,1.0,2.39,-1.39,20.0,5.0,37.0,30.0,167.0,11.0,56.0,167.0,83.0,75.0,47.0,1466.0,332.0,1337.0,284.0,1.0,0.0,332.0,144.0,3378.0,1438.6,0.0,0.0,3.0,0.0,,,,,5.0,0.12,49.7,62.7,91.2,85.5,0.0,10.2,10.0,,79160,7h7eg7q7dbwvzww78h9d5eh0h,0.0,,,,,0.04,0.08,0.71,0.18,1.31,1.07,5.93,0.39,1.99,5.93,2.95,2.66,1.67,52.09,11.8,47.5,10.09,0.04,0.0,11.8,5.12,120.02,51.11,0.0,0.0,0.11,0.0,,,,,35612,2.0,5.0,17.0,0.0,1.0,11.13,8.5,33.14,0.07,0.18,0.6
Junior Diaz,35383.0,2025/2026,Ligue 1,20,1560,0.0,0.93,-0.93,7.0,1.0,27.0,24.0,61.0,23.0,100.0,55.0,41.0,60.0,33.0,642.0,86.0,551.0,54.0,1.0,1.0,180.0,106.0,2001.7,1146.6,0.0,0.0,0.0,0.0,,,,,0.0,0.13,74.5,55.0,85.8,62.8,100.0,11.1,10.8,,81234,3adj8hkws0z1al232bg2h6tk0,1.0,,,,,0.0,0.05,0.4,0.06,1.56,1.38,3.52,1.33,5.77,3.17,2.37,3.46,1.9,37.04,4.96,31.79,3.12,0.06,0.06,10.38,6.12,115.48,66.15,0.0,0.0,0.0,0.0,,,,,38801,,,,,,,,,,,
Junior Diaz,35383.0,2026/2027,Ligue 1,4,360,0.0,0.21,-0.21,3.0,1.0,4.0,5.0,13.0,2.0,10.0,9.0,4.0,10.0,7.0,161.0,26.0,144.0,19.0,0.0,1.0,32.0,15.0,379.8,178.4,1.0,0.0,0.0,0.0,,,,,0.0,0.07,44.4,70.0,89.4,73.1,0.0,11.9,11.9,,178948265602057,3unkqo2g6ag99gd5ynz1j7vse,0.0,,,,,0.0,0.05,0.75,0.25,1.0,1.25,3.25,0.5,2.5,2.25,1.0,2.5,1.75,40.25,6.5,36.0,4.75,0.0,0.25,8.0,3.75,94.95,44.6,0.25,0.0,0.0,0.0,,,,,38801,,,,,,,,,,,
Daniel Svensson,35738.0,2025/2026,"Bundesliga, Champions League",42,3165,4.0,2.53,1.47,15.0,6.0,50.0,28.0,101.0,11.0,94.0,183.0,92.0,67.0,28.0,1118.0,373.0,926.0,279.0,79.0,0.0,243.0,123.0,2715.3,1246.2,2.0,0.0,5.0,0.0,,,,,27.93,0.17,50.34,42.25,82.91,74.83,14.83,11.18,10.16,,80605,dt4pinj0vw0t0cvz7za6mhmzy,11.0,,,,,0.11,0.07,0.43,0.17,1.42,0.8,2.87,0.31,2.67,5.2,2.62,1.91,0.8,31.79,10.61,26.33,7.93,2.25,0.0,6.91,3.5,77.21,35.44,0.06,0.0,0.14,0.0,,,,,1021272,6.0,4.0,36.0,0.0,3.0,11.93,21.76,33.92,0.17,0.11,1.02
Daniel Svensson,35738.0,2026/2027,"Bundesliga, Champions League",4,360,0.0,0.04,-0.04,1.0,0.0,13.0,9.0,19.0,1.0,19.0,30.0,22.0,16.0,5.0,201.0,47.0,179.0,39.0,4.0,1.0,44.0,20.0,430.6,130.0,0.0,0.0,0.0,0.0,,,,,0.0,0.03,73.58,34.12,89.4,85.32,18.75,9.8,6.62,,178948265601737,dt4pinj0vw0t0cvz7za6mhmzy,1.0,,,,,0.0,0.01,0.25,0.0,3.25,2.25,4.75,0.25,4.75,7.5,5.5,4.0,1.25,50.25,11.75,44.75,9.75,1.0,0.25,11.0,5.0,107.65,32.5,0.0,0.0,0.0,0.0,,,,,1021272,0.0,0.0,1.0,0.0,0.0,11.05,9.7,32.39,0.0,0.0,0.25
Robert Lewandowski,38253.0,2025/2026,"La Liga, Champions League",42,2279,18.0,17.77,0.23,88.0,42.0,7.0,3.0,45.0,0.0,25.0,125.0,51.0,90.0,43.0,435.0,195.0,338.0,131.0,0.0,4.0,86.0,35.0,835.1,227.4,10.0,2.0,3.0,0.0,,,,,20.52,0.2,40.5,47.91,77.25,66.84,0.0,9.48,3.78,,79041,agh9ifb2mw3ivjusgedj7c3fe,0.0,,,,,0.71,0.7,3.48,1.66,0.28,0.12,1.78,0.0,0.99,4.94,2.01,3.55,1.7,17.18,7.7,13.35,5.17,0.0,0.16,3.4,1.38,32.98,8.98,0.39,0.08,0.12,0.0,,,,,41789,5.0,22.0,23.0,3.0,22.0,9.95,12.38,34.34,0.2,0.87,0.91
Alexis Sánchez,40433.0,2025/2026,La Liga,28,1298,4.0,3.81,0.19,25.0,9.0,22.0,7.0,64.0,0.0,4.0,114.0,56.0,36.0,14.0,444.0,229.0,331.0,162.0,11.0,3.0,114.0,37.0,996.2,195.9,2.0,0.0,6.0,0.0,,,,,16.0,0.15,49.1,38.9,74.5,70.7,18.2,8.7,5.3,,79117,10eyb18v5puw4ez03ocaug09m,2.0,,,,,0.28,0.26,1.73,0.62,1.53,0.49,4.44,0.0,0.28,7.9,3.88,2.5,0.97,30.79,15.88,22.95,11.23,0.76,0.21,7.9,2.57,69.07,13.58,0.14,0.0,0.42,0.0,,,,,34120,1.0,4.0,26.0,1.0,13.0,10.48,14.9,33.57,0.07,0.28,1.8
Marcus Pedersen,41609.0,2025/2026,Serie A,29,2135,1.0,1.74,-0.74,15.0,3.0,23.0,10.0,55.0,4.0,23.0,107.0,38.0,32.0,7.0,552.0,156.0,426.0,109.0,108.0,0.0,207.0,143.0,2910.9,2009.8,5.0,0.0,7.0,0.0,,,,,6.67,0.12,35.5,21.9,77.2,69.9,18.5,14.1,14.1,,79917,7gnly6999wao1xarwct4p8fe9,20.0,,,,,0.04,0.07,0.63,0.13,0.97,0.42,2.32,0.17,0.97,4.51,1.6,1.35,0.3,23.27,6.58,17.96,4.59,4.55,0.0,8.73,6.03,122.71,84.72,0.21,0.0,0.3,0.0,,,,,934409,0.0,2.0,7.0,0.0,4.0,,,,0.0,0.08,0.3
