id,league,team,player_name,weekly_gbp,annual_gbp,weekly_eur,annual_eur,age,position_raw,nationality,source_url
50994,Scottish Premiership,Celtic,James Forrest,20000,1040000,23600.0,1227200.0,33,AM RL,Scotland,/football/scottish-premiership/celtic/
50995,Scottish Premiership,Celtic,Jota,18000,936000,21240.0,1104480.0,26,AM RL,Portugal,/football/scottish-premiership/celtic/
50996,Scottish Premiership,Celtic,Auston Trusty,17000,884000,20060.0,1043120.0,26,D LC,U.S.A.,/football/scottish-premiership/celtic/
50997,Scottish Premiership,Celtic,Reo Hatate,16000,832000,18880.0,981760.0,27,AM C,Japan,/football/scottish-premiership/celtic/
50998,Scottish Premiership,Celtic,Michel-Ange Balikwisha,15000,780000,17700.0,920400.0,24,"AM LC, F C",DR Congo,/football/scottish-premiership/celtic/
50999,Scottish Premiership,Celtic,Anthony Ralston,15000,780000,17700.0,920400.0,26,D/WB R,Scotland,/football/scottish-premiership/celtic/
51000,Scottish Premiership,Celtic,Benjamin Nygren,14000,728000,16520.0,859040.0,23,AM RLC,Sweden,/football/scottish-premiership/celtic/
51001,Scottish Premiership,Celtic,Kasper Schmeichel,13000,676000,15340.0,797680.0,38,GK,Denmark,/football/scottish-premiership/celtic/
51002,Scottish Premiership,Celtic,Paulo Bernardo,12000,624000,14160.0,736320.0,23,M C,Portugal,/football/scottish-premiership/celtic/
51003,Scottish Premiership,Celtic,Sebastian Tounekti,8000,416000,9440.0,490880.0,22,AM RL,Tunisia,/football/scottish-premiership/celtic/
51004,Scottish Premiership,Celtic,Shin Yamada,8000,416000,9440.0,490880.0,25,"AM RL, ST",Japan,/football/scottish-premiership/celtic/
51005,Scottish Premiership,Celtic,Ross Doohan,7700,400400,9086.0,472472.0,27,GK,Scotland,/football/scottish-premiership/celtic/
51006,Scottish Premiership,Celtic,Jahmai Simpson-Pusey,7100,369200,8378.0,435656.0,19,D C,England,/football/scottish-premiership/celtic/
51007,Scottish Premiership,Celtic,Liam Scales,7000,364000,8260.0,429520.0,26,D LC,Ireland,/football/scottish-premiership/celtic/
51008,Scottish Premiership,Celtic,Marcelo Saracchi,6900,358800,8142.0,423384.0,27,D/WB L,Uruguay,/football/scottish-premiership/celtic/
51009,Scottish Premiership,Celtic,Yang Hyunjun,5300,275600,6254.0,325208.0,23,AM RL,South Korea,/football/scottish-premiership/celtic/
51010,Scottish Premiership,Celtic,Johnny Kenny,5100,265200,6018.0,312936.0,22,ST,Ireland,/football/scottish-premiership/celtic/
