name,team,league,apps,minutes,player_id,fotmob_rating,fotmob_mins_played,fotmob_accurate_passes,fotmob_key_passes,fotmob_xa,fotmob_xa_p90,fotmob_xg_xa_p90,fotmob_dribbles_won,defensive_contributions,fotmob_tackles,fotmob_clearances,ball_recovery,fotmob_penalties_conceded,fotmob_clean_sheets,fotmob_save_pct,fotmob_saves,fotmob_goals_prevented,fotmob_goals_conceded,fotmob_fouls,fotmob_yellow_cards,fotmob_interceptions,fotmob_big_chances_created,fotmob_goals,fotmob_goals_assists,fotmob_goals_p90,fotmob_xg,fotmob_xg_p90,fotmob_xgot,fotmob_shots_on_target,fotmob_shots,fotmob_accurate_long_balls,fotmob_big_chances_missed,fotmob_blocks,fotmob_poss_won_att_3rd,fotmob_assists,fotmob_penalties_won,fotmob_red_cards,fotmob_phys_top_speed,fotmob_phys_distance,fotmob_phys_sprints,fotmob_phys_distance_p90,fotmob_phys_sprints_p90,season,row_id,norm_name,source
"Carlos Soler",8560,"La Liga",,,708890,6.88,2325,40,46,3.9,0.15,0.26,0.5,3.4,1.5,1,3.4,,,,,,,1.1,3,0.6,9,4,7,0.15,2.7,0.11,5.2,0.7,1.4,2.3,5,0.4,0.3,3,,1,,,,,,2025/2026,24079,,
"Lucas Torr\\u00f3",8371,"La Liga",,,303879,6.81,2307,28.9,15,0.8,0.03,0.09,0.4,4.7,1.5,1.8,4.2,,,,,,,1.6,6,1.1,1,,1,,1.6,0.06,0.9,0.3,1.1,1.6,2,0.3,0.1,1,,,,,,,,2025/2026,24080,,
"Iv\\u00e1n Romero",8581,"La Liga",,,1209441,6.84,2278,15.4,25,1.9,0.07,0.42,1.5,2.2,1.3,0.4,3.6,,,,,,,1.6,5,0.5,5,7,8,0.28,8.6,0.34,6.9,0.7,2.3,0.5,12,0.1,0.7,1,1,,,,,,,2025/2026,24081,,
"Nacho Vidal",8670,"La Liga",,,640238,6.77,2272,29.5,7,0.8,0.03,0.12,0.6,6.4,1.8,3.1,3.2,,,,,,,1,4,1.2,,,,,2.2,0.09,0.7,0.1,0.6,1.7,5,0.3,0.1,,,,,,,,,2025/2026,24082,,
"Lamine Yamal",8634,"La Liga",,,1467236,8.33,2268,43.4,72,10.1,0.4,0.91,5.3,1.9,1.4,0.1,3.9,,,,,,,1.1,1,0.4,26,16,27,0.63,12.8,0.51,12.2,1.5,4.6,1.3,7,,0.8,11,2,,,,,,,2025/2026,24083,,
"Isi Palaz\\u00f3n",8370,"La Liga",,,638010,6.74,2262,28.6,39,4,0.16,0.37,0.9,2.4,1.2,0.9,3.8,,,,,,,1.4,10,0.1,9,3,6,0.12,5.3,0.21,4.6,0.6,2.1,1.8,6,0.2,0.4,3,,1,,,,,,2025/2026,24084,,
"Jules Kound\\u00e9",8634,"La Liga",,,705450,7.26,2261,70.1,23,3.4,0.13,0.2,0.8,5.8,1.9,2.2,3.6,1,,,,,,0.9,6,1.2,6,1,4,0.04,1.7,0.07,2,0.2,0.6,1.2,5,0.5,0.2,3,,,,,,,,2025/2026,24085,,
"Mat\\u00edas Moreno",8581,"La Liga",,,1605748,6.8,2256,37.2,8,0.8,0.03,0.07,0.2,8.7,1.3,5.1,3.1,,,,,,,0.9,8,1.5,1,,,,1,0.04,,,0.4,2.4,2,0.8,0,,,,,,,,,2025/2026,24086,,
"Abdessamad Ezzalzouli",8603,"La Liga",,,1209399,7.52,2255,25.3,32,3.5,0.14,0.5,1.6,3.4,2.1,0.6,4.8,,,,,,,1.1,3,0.6,11,10,18,0.4,9.2,0.37,9.8,1,2.9,0.6,8,0,1,8,1,,,,,,,2025/2026,24087,,
"Jon Mart\\u00edn",8560,"La Liga",,,1523234,6.95,2250,49.5,2,0.2,0.01,0.09,0.3,9.9,1.2,6.4,3.3,1,,,,,,0.7,6,1.4,,2,2,0.08,2,0.08,1.8,0.2,0.6,1.3,4,1,0,,,,,,,,,2025/2026,24088,,
"Pablo Ib\\u00e1nez",9866,"La Liga",,,1238154,6.72,2247,34.7,19,1.3,0.05,0.23,1.2,4.6,2.3,1,5,,,,,,,1.5,7,0.8,1,1,2,0.04,4.4,0.18,3.3,0.5,1.9,1,3,0.4,0.5,1,,,,,,,,2025/2026,24089,,
"Rub\\u00e9n Garcia",8371,"La Liga",,,384413,6.87,2247,26.4,44,4.9,0.2,0.3,0.7,3.6,2,0.9,3.6,,,,,,,1.4,6,0.7,8,2,7,0.08,2.4,0.1,1.7,0.4,1.2,2,3,0.1,0.8,5,,,,,,,,2025/2026,24090,,
"Omar Mascarell",8661,"La Liga",,,359191,6.74,2245,37.3,8,0.4,0.02,0.03,0.2,7.4,1.9,3.4,4.4,,,,,,,1.5,5,1.4,2,2,4,0.08,0.3,0.01,0.3,0.1,0.3,3.2,,0.7,0.2,2,,,,,,,,2025/2026,24091,,
Pepelu,10267,"La Liga",,,673689,7.02,2232,48,21,2.1,0.08,0.23,0.3,6.3,2.4,2.7,5.7,,,,,,,1.2,4,0.8,1,2,2,0.08,3.6,0.14,2.4,0.1,1,3.8,2,0.4,0.2,,,,,,,,,2025/2026,24092,,
"\\u00cd\\u00f1igo Ru\\u00edz de Galarreta",8315,"La Liga",,,282462,6.95,2231,41.3,30,3.6,0.15,0.17,1.4,4.4,2.4,0.8,7.6,,,,,,,2.2,9,0.9,6,1,3,0.04,0.7,0.03,0.7,0.1,0.8,2.5,,0.2,0.9,2,,,,,,,,2025/2026,24093,,
Koke,9906,"La Liga",,,184533,7.03,2220,71.1,35,4.5,0.18,0.21,0.1,4.1,2,1,5.3,,,,,,,0.9,6,0.7,5,2,4,0.08,0.7,0.03,1.5,0.2,0.6,4.1,,0.3,0.6,2,,,,,,,,2025/2026,24094,,
"Jon Gorrotxategi",8560,"La Liga",,,1323827,6.78,2215,46.2,18,0.6,0.02,0.06,0.4,5.6,1.8,1.8,5.1,,,,,,,1.3,6,1.4,2,1,4,0.04,0.8,0.03,0.8,0,0.5,1.5,,0.5,0.3,3,,,,,,,,2025/2026,24095,,
"Kike Salas",8302,"La Liga",,,1327489,7.25,2203,44.9,7,0.6,0.02,0.09,0.3,11.3,2.4,6.7,4.5,,,,,,,1.3,1,1.5,,2,2,0.08,1.5,0.06,2.2,0.3,0.8,2.6,,0.7,0.1,,1,,,,,,,2025/2026,24096,,
"\\u00c1lvaro Rodriguez",10268,"La Liga",,,1327406,6.93,2200,14.2,33,2.7,0.11,0.47,1.6,2.2,1,1.1,2.2,1,,,,,,1.5,2,0.1,7,7,12,0.29,8.8,0.36,8,1,3.1,0.5,17,0,0.5,5,,,,,,,,2025/2026,24097,,
"Djibril Sow",8302,"La Liga",,,707970,6.74,2195,34.7,24,1.8,0.07,0.15,0.3,3.2,1.8,0.4,3.5,1,,,,,,1.7,6,0.9,2,5,9,0.21,1.8,0.07,3.1,0.3,0.8,1.8,1,0.1,0.1,4,,,,,,,,2025/2026,24098,,
"Marcos Llorente",9906,"La Liga",,,602563,7.05,2184,52.8,20,3.8,0.16,0.24,0.5,5.2,2.4,2.2,5.1,,,,,,,1.2,5,0.5,9,,4,,2,0.08,1.8,0.2,0.7,2.2,2,0.1,0.4,4,,1,,,,,,2025/2026,24099,,
"Pol Lozano",8558,"La Liga",,,750031,6.55,2171,34.1,23,2.2,0.09,0.12,0.1,3.8,1.6,1.1,3.4,1,,,,,,2.7,10,0.9,2,2,3,0.08,0.8,0.03,1.8,0.2,0.7,1.5,,0.2,0.2,1,,1,,,,,,2025/2026,24100,,
"I\\u00f1aki Williams",8315,"La Liga",,,604105,6.65,2168,14.3,25,3.5,0.14,0.41,0.5,1.5,0.5,0.6,2.8,,,,,,,1.2,2,0.3,7,3,9,0.12,6.4,0.27,4.9,0.8,2.4,0.2,12,0.1,0.6,6,2,,,,,,,2025/2026,24101,,
"Victor Chust",10268,"La Liga",,,1192393,6.76,2165,56.9,5,0.9,0.04,0.06,0.3,7.8,2.6,3.6,3.8,,,,,,,1.6,6,0.8,,1,1,0.04,0.5,0.02,0.6,0.1,0.4,2.6,1,0.7,0,,,1,,,,,,2025/2026,24102,,
"Alex Berenguer",8315,"La Liga",,,574629,6.68,2164,24.6,49,5.6,0.23,0.42,1,2.5,1.2,0.7,4,,,,,,,1.1,4,0.5,7,2,5,0.08,4.5,0.19,4.7,0.8,1.8,1.1,7,0,0.8,3,,,,,,,,2025/2026,24103,,
"Aimar Oroz",8371,"La Liga",,,1054786,6.77,2152,28.3,38,3.2,0.13,0.21,1.3,2.6,1.5,0.6,4.6,,,,,,,1.4,6,0.4,5,,2,,1.7,0.07,0.7,0.2,1.2,1.3,,0,0.8,2,,,,,,,,2025/2026,24104,,
"Victor Parada",9866,"La Liga",,,1056071,6.52,2151,26.2,14,1.5,0.06,0.11,0.3,5.6,1.4,3.4,2.7,1,,,,,,1.2,7,0.4,3,,3,,1,0.04,0.1,0.1,0.5,1.2,2,0.5,0,3,,1,,,,,,2025/2026,24105,,
"Fernando Calero",8558,"La Liga",,,839232,6.68,2150,45.3,3,0.2,0.01,0.08,0.1,8.9,1.2,5.2,3.6,,,,,,,0.6,5,1.2,1,,,,1.8,0.07,0,0,0.5,3,4,1.3,,,,,,,,,,2025/2026,24106,,
"Duje Caleta-Car",8560,"La Liga",,,557799,6.72,2150,51.5,3,0.6,0.03,0.07,,8.7,1,5.4,3.3,,,,,,,1.3,6,1.2,,1,1,0.04,1.2,0.05,0.3,0.1,0.5,2,1,1.1,0,,,1,,,,,,2025/2026,24107,,
"Pape Gueye",10205,"La Liga",,,844544,7.11,2143,36.5,23,2.8,0.12,0.28,0.6,6,1.7,2.5,4.7,1,,,,,,1.5,8,1.4,3,5,7,0.21,4,0.17,3.3,0.5,2,3.7,4,0.4,0.6,2,,,,,,,,2025/2026,24108,,
"Mario Mart\\u00edn",8305,"La Liga",,,1321605,6.35,2134,17.5,8,1,0.04,0.15,0.6,4.4,2.4,1.2,3.1,,,,,,,3,11,0.6,1,2,3,0.08,2.6,0.11,1.7,0.3,1.1,0.8,2,0.2,0.4,1,,,,,,,,2025/2026,24109,,
"Gerard Mart\\u00edn",8634,"La Liga",,,1598982,7.23,2124,75.4,13,1,0.04,0.05,0.3,8,1.7,4.7,3.1,,,,,,,0.7,6,1.2,1,,,,0.2,0.01,0.6,0.2,0.3,2.1,,0.3,0.1,,,,,,,,,2025/2026,24110,,
"Georges Mikautadze",10205,"La Liga",,,1117069,7.12,2117,12.8,28,2.5,0.11,0.59,1.4,0.8,0.3,0.3,1.7,,,,,,,0.6,1,0.2,7,13,19,0.55,11.4,0.49,14.8,1.4,2.8,0.6,19,0,0.4,6,,,,,,,,2025/2026,24111,,
"\\u00d3scar Valent\\u00edn",8370,"La Liga",,,956622,6.81,2113,33.6,10,1.3,0.06,0.1,0.2,7.5,3.1,2.6,4.4,1,,,,,,1.3,3,1.2,1,1,1,0.04,1,0.04,1.7,0.2,0.6,1,,0.6,0.1,,,1,,,,,,2025/2026,24112,,
"Giuliano Simeone",9906,"La Liga",,,1226147,7.14,2109,33,29,5,0.21,0.43,1.2,3.3,1.9,0.5,4.7,,,,,,,0.9,3,0.8,9,4,10,0.17,5.2,0.22,4.6,0.6,1.5,0.4,8,0.1,0.5,6,,,,,,,,2025/2026,24113,,
Pedri,8634,"La Liga",,,1083323,7.8,2107,80.4,63,5.4,0.23,0.3,1.6,4.2,2.1,1,7,,,,,,,0.4,,1,8,2,11,0.09,1.6,0.07,1.7,0.4,0.9,4,4,0.1,0.8,9,,1,,,,,,2025/2026,24114,,
"\\u00c1lvaro Garcia",8370,"La Liga",,,474658,6.82,2105,15.2,41,5.2,0.22,0.5,0.2,3,1.2,1.2,3.3,,,,,,,0.8,3,0.6,15,4,9,0.17,6.5,0.28,5.5,0.8,2,1,8,0.1,0.5,5,1,,,,,,,2025/2026,24115,,
"Gabriel Suazo",8302,"La Liga",,,659490,7.01,2096,36.7,36,4.3,0.18,0.2,0.6,7.2,3.7,2,4.8,1,,,,,,1.4,7,1.3,5,,1,,0.5,0.02,0.3,0.1,0.2,1.8,,0.2,0.3,1,,,,,,,,2025/2026,24116,,
"Igor Zubeldia",8560,"La Liga",,,698653,6.78,2082,43.9,5,0.5,0.02,0.03,0,9.6,1.6,6.4,2.9,,,,,,,1.6,9,1,1,,1,,0.3,0.01,,0,0.3,1.7,,0.6,0.1,1,,,,,,,,2025/2026,24117,,
"Dani Olmo",8634,"La Liga",,,614834,7.34,2077,44.9,49,5.6,0.24,0.58,0.7,3.1,1.4,1,4.4,,,,,,,1.2,1,0.6,11,7,15,0.3,7.7,0.33,7.5,0.9,3,1.8,9,0,0.6,8,2,,,,,,,2025/2026,24118,,
"Antonio Ra\\u00edllo",8661,"La Liga",,,640231,6.74,2070,43.9,7,0.6,0.02,0.05,,8.5,1.1,5.3,2.7,3,,,,,,1,4,0.7,1,,1,,0.5,0.02,0.4,0,0.5,2.3,1,1.5,0,1,,,,,,,,2025/2026,24119,,
"Javier Guerra",10267,"La Liga",,,1284429,6.93,2069,34.8,32,2.8,0.12,0.27,1.1,3.7,1.3,1.1,4.7,,,,,,,1.2,3,1,6,4,10,0.17,3.4,0.15,3.4,0.5,1.3,2.1,3,0.3,0.4,6,,,,,,,,2025/2026,24120,,
"Derek Cornelius",8592,"Ligue 1",,,847629,,57,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025/2026,26152,,
"Santiago Colombatto",8670,"La Liga",,,686460,6.64,2069,38.1,24,2,0.09,0.11,0.2,4.6,1.9,1.8,4.4,,,,,,,1.9,6,0.6,3,,1,,0.6,0.03,0.5,0.1,0.7,1.6,,0.3,0.5,1,,,,,,,,2025/2026,24121,,
"Pedro Bigas",10268,"La Liga",,,291635,6.97,2068,58,15,1.3,0.06,0.09,0.2,8.3,1.6,4.7,3.3,2,,,,,,1.1,3,1.3,4,1,4,0.04,0.7,0.03,0.1,0.1,0.4,3.4,1,0.8,,3,,1,,,,,,2025/2026,24122,,
"David Costas",8670,"La Liga",,,479217,6.56,2064,39.7,5,0.2,0.01,0.05,0.3,8.1,1.1,5,3,,,,,,,0.7,3,1.2,1,1,1,0.04,0.9,0.04,0.5,0,0.2,4.1,2,0.8,0,,,,,,,,,2025/2026,24123,,
"Aymeric Laporte",8315,"La Liga",,,411617,6.93,2060,48.2,7,0.3,0.01,0.09,0.1,8.4,1.2,5.5,3.8,,,,,,,0.4,4,1.1,1,,1,,1.6,0.07,1.4,0.2,0.7,2.9,2,0.6,0,1,1,,,,,,,2025/2026,24124,,
"Akor Adams",8302,"La Liga",,,958640,6.68,2059,10,13,1.1,0.05,0.49,0.7,1.7,0.3,1.1,2.1,,,,,,,1.6,3,0,1,10,13,0.44,10,0.44,11.2,1.3,2.7,0.3,9,0.2,0.7,3,,,,,,,,2025/2026,24125,,
"Dean Huijsen",8633,"La Liga",,,1367619,7.22,2037,65.9,10,1.2,0.05,0.15,0.1,8.7,1.4,5.7,3.3,1,,,,,,0.9,7,0.8,1,2,4,0.09,2.3,0.1,2.8,0.2,0.9,5,2,0.8,0,2,,1,,,,,,2025/2026,24126,,
"Arda G\\u00fcler",8633,"La Liga",,,1253890,7.43,2026,54.2,70,7.2,0.32,0.52,1.2,2.9,2,0.4,4.5,1,,,,,,0.9,1,0.4,14,4,13,0.18,4.6,0.2,4.8,0.8,2.2,3.2,3,0.1,0.5,9,,,,,,,,2025/2026,24127,,
"Marc Roca",8603,"La Liga",,,640220,6.79,2025,42,18,1.3,0.06,0.12,0.5,4.8,1.7,1.7,4.6,,,,,,,1.9,1,1,3,1,2,0.04,1.4,0.06,1.3,0.3,0.8,2.2,2,0.4,0.6,1,,,,,,,,2025/2026,24128,,
Kiko,8305,"La Liga",,,175311,6.71,2020,20.7,17,1.3,0.06,0.09,0.3,5.3,1.7,2,4.5,,,,,,,0.9,6,1.5,2,1,2,0.04,0.7,0.03,0.7,0.1,0.4,1.1,1,0.1,0.3,1,,,,,,,,2025/2026,24129,,
"Carles Ale\\u00f1\\u00e1",9866,"La Liga",,,637756,6.59,1995,32.7,38,3.4,0.15,0.28,0.6,3.2,1.7,1,3.7,,,,,,,1.7,5,0.5,6,,4,,2.7,0.12,0.6,0.2,1.4,1,2,0.1,0.3,4,,,,,,,,2025/2026,24130,,
"Path\\u00e9 Ciss",8370,"La Liga",,,872396,6.97,1995,48,12,0.4,0.02,0.17,0.4,8.3,2.4,3.5,5.2,,,,,,,1.4,9,1.6,1,2,3,0.09,3.3,0.15,2.1,0.4,0.9,4.1,6,0.7,0.1,1,,2,,,,,,2025/2026,24131,,
"Juanlu S\\u00e1nchez",8302,"La Liga",,,1158512,6.75,1993,28.7,22,2.9,0.13,0.17,1.2,4.8,2.8,1.4,4.7,2,,,,,,1,5,0.5,5,,3,,0.8,0.04,0.1,0,0.6,1.6,,,0.4,3,1,1,,,,,,2025/2026,24132,,
"Pere Milla",8558,"La Liga",,,593129,6.81,1986,17.3,34,2.7,0.12,0.44,0.5,3.6,1.7,1,3.4,,,,,,,1.1,6,0.8,5,7,8,0.32,7.1,0.32,9.5,1,2.7,0.9,8,0.1,0.8,1,,1,,,,,,2025/2026,24133,,
"\\u00c1lvaro N\\u00fa\\u00f1ez",9910,"La Liga",,,1132355,6.99,1984,50.7,21,2.8,0.13,0.14,0.7,3.9,1.3,1.5,4.2,1,,,,,,0.6,2,0.7,6,,2,,0.3,0.01,0,0,0.3,2.2,,0.4,0.2,2,,,,,,,,2025/2026,24134,,
"Hugo Duro",10267,"La Liga",,,929838,6.58,1981,12.5,17,0.8,0.04,0.44,0.1,2.1,0.7,1,1.8,,,,,,,1,5,0.2,2,10,10,0.45,8.8,0.4,7.7,0.6,1.6,0.4,9,0.3,0.3,,1,,,,,,,2025/2026,24135,,
"Alexander S\\u00f8rloth",9906,"La Liga",,,440330,6.79,1981,13.1,10,1.1,0.05,0.51,0.5,1.9,0.6,1.1,1.5,1,,,,,,1.4,4,,2,13,13,0.59,10.2,0.46,14.2,1.6,3.1,0.2,18,0.1,0.3,,,1,,,,,,2025/2026,24136,,
"Rafa Mar\\u00edn",10205,"La Liga",,,1313884,7.03,1980,44.5,7,0.7,0.03,0.05,0.1,9.6,1.7,6.4,2.8,1,,,,,,0.7,1,0.8,2,1,1,0.05,0.4,0.02,0.5,0,0.2,3.3,,0.7,,,,,,,,,,2025/2026,24137,,
"Mat\\u00edas Dituro",10268,"La Liga",,,592412,6.95,1980,40.5,2,0.1,0.01,0.01,,1.1,,1,10.4,,4,68.8,2.9,-0.9,1.3,,1,0,,,,,,,,,,,,,,,,,,,,,,2025/2026,24138,,
"Marc Bartra",8603,"La Liga",,,195305,6.92,1978,45.9,5,0.4,0.02,0.05,0.3,11.6,2,7.2,3.5,1,,,,,,0.7,3,1.2,,1,1,0.05,0.8,0.04,0.6,0.2,0.7,3.5,,1.1,0,,,,,,,,,2025/2026,24139,,
"Ferran Torres",8634,"La Liga",,,881771,7.1,1976,16.3,23,1.7,0.08,0.68,0.4,1,0.3,0.5,1.6,,,,,,,0.6,2,0.1,5,16,18,0.73,13.2,0.6,12.4,1.7,3.1,0.4,20,0,0.4,2,,,,,,,,2025/2026,24140,,
"\\u00d3scar Mingueza",9910,"La Liga",,,952095,6.86,1967,48.1,30,4.4,0.2,0.23,0.7,4.3,1.9,1.7,3.6,,,,,,,0.7,4,0.4,7,1,5,0.05,0.6,0.03,0.8,0.2,0.6,2.5,,0.2,0.1,4,,,,,,,,2025/2026,24141,,
"Sergi Cardona",10205,"La Liga",,,1059657,6.88,1965,27.6,20,2.6,0.12,0.17,0.2,6.9,2.2,2.7,3.3,,,,,,,1.3,4,1.6,4,1,5,0.05,1,0.05,0.6,0.2,0.8,1,,0.4,0.3,4,,,,,,,,2025/2026,24142,,
"Vladyslav Vanat",7732,"La Liga",,,1231648,6.69,1960,9.8,12,1.3,0.06,0.45,0.4,1.1,0.2,0.7,1.1,,,,,,,1.3,4,0.1,3,9,10,0.41,8.5,0.39,9.9,0.8,1.2,0.1,9,0,0.3,1,1,,,,,,,2025/2026,24143,,
"Lucas Boy\\u00e9",9866,"La Liga",,,561164,6.73,1959,14,28,1.7,0.08,0.51,1.7,3.1,1.7,0.9,3,,,,,,,2.6,2,0.3,5,11,12,0.51,9.5,0.44,8.1,1,2.9,0.2,8,0.3,1,1,,1,,,,,,2025/2026,24144,,
"Haissem Hassan",8670,"La Liga",,,971787,6.55,1943,18.5,20,3.2,0.15,0.22,2.8,2.6,1.8,0.5,3.3,,,,,,,0.6,1,0.3,2,,3,,1.6,0.07,1.2,0.4,1.6,2.1,2,,0.8,3,,,,,,,,2025/2026,24145,,
"Pau Navarro",10205,"La Liga",,,1531887,6.83,1924,40.2,4,0.2,0.01,0.01,0.3,9.7,3,5.1,2.8,,,,,,,1.6,4,0.8,1,,,,0.1,0,0.3,0.1,0.1,1.6,,0.7,,,,,,,,,,2025/2026,24146,,
"Jude Bellingham",8633,"La Liga",,,1077894,7.53,1917,49.3,36,2.2,0.1,0.44,1.7,4,2.4,0.8,4.9,,,,,,,1.5,3,0.7,4,6,10,0.28,7.3,0.34,9.3,1.2,2.4,3.2,8,0.1,0.9,4,,,,,,,,2025/2026,24147,,
"Borja Iglesias",9910,"La Liga",,,609505,6.79,1902,15.8,17,1.6,0.07,0.57,0.6,1.5,0.4,0.8,2.3,,,,,,,1.8,7,0,3,14,16,0.66,10.5,0.49,12.2,1.2,2.2,0.9,8,0.2,0.4,2,3,,,,,,,2025/2026,24148,,
"Juli\\u00e1n \\u00c1lvarez",9906,"La Liga",,,974753,7.11,1902,27.2,47,5.1,0.24,0.61,1.2,1.4,1,0.2,2.4,,,,,,,0.7,2,0.1,10,8,12,0.38,7.7,0.36,9.7,1.2,2.6,1.2,8,,0.7,4,,,,,,,,2025/2026,24149,,
"Carlos \\u00c1lvarez",8581,"La Liga",,,1209980,6.71,1897,25.2,40,4.1,0.2,0.33,0.9,2,1,0.3,4.4,,,,,,,1,3,0.6,6,3,4,0.14,2.7,0.13,2.6,0.5,1.4,1,2,0,0.5,1,1,,,,,,,2025/2026,24150,,
"Valent\\u00edn G\\u00f3mez",8603,"La Liga",,,1338016,6.78,1875,39.5,10,0.7,0.03,0.07,0.6,9.4,2.2,5.4,3.6,2,,,,,,1.2,5,1.2,3,1,1,0.05,0.8,0.04,1,0.2,0.5,2.1,1,0.6,,,,,,,,,,2025/2026,24151,,
"Alejandro Balde",8634,"La Liga",,,1254166,7.08,1874,52.6,23,2.1,0.1,0.13,1.1,3.6,1.7,1.2,4.4,1,,,,,,0.7,2,0.2,4,,2,,0.6,0.03,0.1,0,0.5,0.7,1,0.5,0.5,2,1,,,,,,,2025/2026,24152,,
"Toni Lato",8661,"La Liga",,,674518,,585,,4,0.5,,,,,,,,,,,,,,,3,,1,,1,,,,,,,,,,,1,,,,,,,,2025/2026,24377,,
"Pedro D\\u00edaz",8370,"La Liga",,,715069,6.59,1869,31.4,23,1.6,0.08,0.16,0.7,3,1.8,0.7,4.9,,,,,,,1,3,0.4,3,,1,,1.7,0.08,0.7,0.3,2.1,1.1,1,0,0.6,1,,,,,,,,2025/2026,24153,,
"Pablo Mart\\u00ednez",8581,"La Liga",,,923298,6.82,1865,26.1,36,4.6,0.22,0.31,0.7,3.8,0.8,1.4,4.2,,,,,,,1.5,3,1,10,1,6,0.05,1.9,0.09,1.6,0.2,1.4,1.7,1,0.6,0.5,5,,,,,,,,2025/2026,24154,,
"Andr\\u00e9 Silva",10268,"La Liga",,,388523,6.82,1853,18.9,22,1.3,0.06,0.58,0.7,1.9,0.7,0.9,2.7,,,,,,,1.2,3,0.2,1,10,10,0.49,10.5,0.51,12.9,1.4,2.8,0.3,8,0,0.6,,1,,,,,,,2025/2026,24155,,
"Gon\\u00e7alo Guedes",8560,"La Liga",,,536455,6.86,1832,20.7,24,2.9,0.14,0.33,0.9,1.7,1.2,0.3,2.8,,,,,,,0.9,3,0.2,6,8,12,0.39,3.9,0.19,7,0.9,2.3,1.2,3,,0.7,4,,,,,,,,2025/2026,24156,,
"Tajon Buchanan",10205,"La Liga",,,1026135,6.72,1821,18.7,16,2,0.1,0.2,1,3.3,1.4,0.8,5.3,,,,,,,0.9,8,1,5,7,8,0.35,2.1,0.1,3.1,0.5,1.3,0.5,2,0.1,0.8,1,,,,,,,,2025/2026,24157,,
"H\\u00e9ctor Beller\\u00edn",8603,"La Liga",,,427438,6.96,1820,44.9,24,2.9,0.15,0.17,0.3,5.9,1.5,3.5,2.9,,,,,,,0.7,2,0.7,5,2,5,0.1,0.4,0.02,1.3,0.2,0.3,1.1,,0.2,0.1,3,,,,,,,,2025/2026,24158,,
"Aitor Ruibal",8603,"La Liga",,,676533,6.93,1814,28.6,19,1.6,0.08,0.27,0.7,5.7,2.2,2.2,4.9,3,,,,,,1.6,4,1,3,4,6,0.2,3.8,0.19,4.1,0.6,1.5,1.6,3,0.1,0.4,2,1,1,,,,,,2025/2026,24159,,
"Rafa Mir",10268,"La Liga",,,640492,6.77,1809,16.5,9,1.1,0.06,0.46,0.2,2,0.8,0.9,1.8,,,,,,,1.9,4,0.2,3,8,8,0.4,8.1,0.4,8.8,1.8,3.4,0.7,13,0,0.7,,,,,,,,,2025/2026,24160,,
"Javi Gal\\u00e1n",8371,"La Liga",,,695062,7.25,1807,37.9,29,2.6,0.13,0.14,1.9,7,2.4,2.9,4.5,2,,,,,,1.6,3,1.4,2,,1,,0.2,0.01,0.1,0,0.3,2,,0.2,0.4,1,,,,,,,,2025/2026,24161,,
"Nobel Mendy",8370,"La Liga",,,1428427,6.8,1804,41.2,3,0.2,0.01,0.09,0.1,11.3,1.3,7.7,3.4,1,,,,,,1.6,7,1,1,2,2,0.1,1.6,0.08,1.1,0.1,0.5,2.5,2,1.2,,,,2,,,,,,2025/2026,24162,,
"Oihan Sancet",8315,"La Liga",,,950545,6.61,1803,24.2,27,1.6,0.08,0.4,0.8,2,1.2,0.4,3.3,,,,,,,1.4,4,0.2,,4,4,0.2,6.5,0.32,5.2,0.7,2.4,1.1,7,0.1,0.7,,1,1,,,,,,2025/2026,24163,,
"Stole Dimitrievski",10267,"La Liga",,,254241,6.98,1800,19.9,,0,0,0,,0.7,0.1,0.6,9.2,,5,67.5,2.6,-1.1,1.3,,1,0.1,,,,,,,,,,,,,,,,,,,,,,2025/2026,24164,,
"Jan Virgili",8661,"La Liga",,,1690093,6.59,1797,15.4,30,2.4,0.12,0.24,2.5,1.7,0.8,0.5,3.4,1,,,,,,1.1,,0.4,7,2,6,0.1,2.3,0.12,4.3,0.8,1.6,0.4,1,0.1,0.9,4,2,1,,,,,,2025/2026,24165,,
"Ferm\\u00edn L\\u00f3pez",8634,"La Liga",,,1404415,7.33,1797,39,34,4.5,0.22,0.57,2.2,3.1,2.4,0.3,4.1,,,,,,,1.7,3,0.4,15,6,15,0.3,7,0.35,6.3,1.3,3.4,1.7,7,,0.9,9,,,,,,,,2025/2026,24166,,
"David Carmo",8670,"La Liga",,,954962,6.62,1787,42.2,7,0.5,0.02,0.07,0.1,11.2,1.7,7.5,3,1,,,,,,1,6,1.1,1,1,1,0.05,0.9,0.05,1.5,0.2,0.5,5.3,,0.9,0.1,,,1,,,,,,2025/2026,24167,,
"Robin Le Normand",9906,"La Liga",,,609516,6.83,1783,47.3,2,0.3,0.02,0.05,0.1,8.1,1.8,4.9,2.8,,,,,,,1.1,5,1,1,1,2,0.05,0.6,0.03,0.2,0.1,0.3,1.8,1,0.4,0.2,1,,,,,,,,2025/2026,24168,,
"Matteo Ruggeri",9906,"La Liga",,,1051097,6.96,1775,39.2,25,3.8,0.19,0.2,0.3,6.3,1.8,3.3,5,,,,,,,1.4,4,1,5,,3,,0.1,0.01,0.5,0.1,0.3,1.7,,0.2,0.2,3,,,,,,,,2025/2026,24169,,
