player_id,name,national_team,is_international
814663,"Alejandro Catena",,f
845998,"Antonio Blanco",Spain,t
860314,"Nahuel Tenaglia",,f
921825,"Jon Moncayola","Spain U23",f
1073980,"David Affengruber",Austria,t
1102289,"Juan Iglesias",,f
1187702,"Leo Rom\\u00e1n",Spain,t
1395964,"Carlos Romero",,f
1580952,"Vitor Reis",Brazil,t
80295,"Yuri Berchiche",,f
196169,"Marcos Alonso",Spain,t
474673,"Johan Mojica",Colombia,t
640123,"Toni Mart\\u00ednez","Spain U17",f
678234,"Mikel Oyarzabal",Spain,t
683450,"Pablo Fornals",Spain,t
743533,"Federico Valverde",Uruguay,t
844477,"Sergio G\\u00f3mez",Spain,t
846033,"Vin\\u00edcius J\\u00fanior",Brazil,t
940573,"Eric Garc\\u00eda",Spain,t
952528,"Adri\\u00e1n De La Fuente","Spain U19",f
970578,"Andrei Ratiu",Romania,t
1052330,"Manuel S\\u00e1nchez","Spain U21",f
1102708,"Germ\\u00e1n Valera","Spain U17",f
1130583,"Sam\\u00fa",Portugal,t
1188375,Natan,Brazil,t
1208708,"Omar El Hilali",Morocco,t
1249284,"Jon Aramburu",Venezuela,t
1532137,"Pau Cubars\\u00ed",Spain,t
1553099,"Mikel Jauregizar","Spain U21",f
161012,"Daley Blind",Netherlands,t
177126,"Jan Oblak",Slovenia,t
282472,"Sergi Darder","Spain U21",f
421365,"Djen\\u00e9",Togo,t
564847,"Viktor Tsigankov",Ukraine,t
638070,"Luis Rioja",,f
673356,"Pablo Maffeo",Argentina,t
701154,"Kylian Mbapp\\u00e9",France,t
852071,"Juan Hern\\u00e1ndez",Colombia,t
914458,"Aur\\u00e9lien Tchouam\\u00e9ni",France,t
940743,"Daniel Vivian",Spain,t
971790,"Lucien Agoum\\u00e9","France U21",f
988805,"Pep Chavarr\\u00eda",,f
1106742,"Sergio Carreira","Spain U21",f
1167220,"Joan Garc\\u00eda",Spain,t
1187767,"Urko Gonz\\u00e1lez","Spain U21",f
1194892,"Arnau Mart\\u00ednez","Spain U21",f
1281461,"Jos\\u00e9 \\u00c1ngel Carmona","Spain U21",f
1311985,"C\\u00e9sar T\\u00e1rrega","Spain U21",f
1553105,"V\\u00edctor Mu\\u00f1oz",Spain,t
39591,"Axel Witsel",Belgium,t
391058,"Jos\\u00e9 Gay\\u00e0",Spain,t
477588,"\\u00c1lex Moreno",,f
727897,"D\\u00e1vid Hancko",Slovakia,t
763970,"Valentin Rosier","France U21",f
797901,"Jorge de Frutos",Spain,t
837089,"Edu Exp\\u00f3sito",,f
967622,Antony,Brazil,t
967871,"Iv\\u00e1n Martin","Spain U17",f
999171,"\\u00c1lvaro Vall\\u00e9s",,f
1032811,"Federico Vi\\u00f1as",Uruguay,t
1109046,"Ilaix Moriba",Guinea,t
1169595,"Ilyas Chaira","Morocco U20",f
1184694,"Alberto Moleiro","Spain U21",f
1187044,"Luiz J\\u00fanior",,f
1187734,"Flavien Boyomo",Cameroon,t
1323510,"Alberto Reina",,f
1343750,"Renato Veiga",Portugal,t
1392232,"Marc Aguado",,f
1435439,"Javi Rodr\\u00edguez",Spain,t
178753,"Nemanja Gudelj",Serbia,t
303879,"Lucas Torr\\u00f3","Spain U19",f
384413,"Rub\\u00e9n Garcia","Spain U20",f
575735,"Nicolas P\\u00e9p\\u00e9","Ivory Coast",t
638010,"Isi Palaz\\u00f3n",,f
640238,"Nacho Vidal",,f
671865,"Santi Comesa\\u00f1a",,f
705450,"Jules Kound\\u00e9",France,t
708890,"Carlos Soler",Spain,t
711231,"Gorka Guruzeta",,f
1181101,"Tyrhys Dolan","England U20",f
1190025,"Alvaro Carreras","Spain U21",f
1209399,"Abdessamad Ezzalzouli",Morocco,t
1209441,"Iv\\u00e1n Romero",,f
1238154,"Pablo Ib\\u00e1nez",,f
1252373,"Roberto Fern\\u00e1ndez","Spain U21",f
1407468,"Santiago Mouri\\u00f1o",Uruguay,t
1467236,"Lamine Yamal",Spain,t
1523234,"Jon Mart\\u00edn",Spain,t
1605748,"Mat\\u00edas Moreno",,f
184533,Koke,Spain,t
282462,"\\u00cd\\u00f1igo Ru\\u00edz de Galarreta",,f
359191,"Omar Mascarell","Equatorial Guinea",t
557799,"Duje Caleta-Car",Croatia,t
574629,"Alex Berenguer",,f
602563,"Marcos Llorente",Spain,t
604105,"I\\u00f1aki Williams",Ghana,t
673689,Pepelu,Spain,t
707970,"Djibril Sow",Switzerland,t
750031,"Pol Lozano","Spain U21",f
839232,"Fernando Calero",,f
844544,"Pape Gueye",Senegal,t
1054786,"Aimar Oroz","Spain U23",f
1056071,"Victor Parada",,f
1192393,"Victor Chust","Spain U21",f
1321605,"Mario Mart\\u00edn","Spain U21",f
1323827,"Jon Gorrotxategi",,f
1327406,"\\u00c1lvaro Rodriguez","Uruguay U20",f
1327489,"Kike Salas","Spain U21",f
1598982,"Gerard Mart\\u00edn","Spain U21",f
175311,Kiko,"Spain U20",f
291635,"Pedro Bigas",,f
411617,"Aymeric Laporte",Spain,t
474658,"\\u00c1lvaro Garcia",,f
479217,"David Costas","Spain U19",f
614834,"Dani Olmo",Spain,t
637756,"Carles Ale\\u00f1\\u00e1","Spain U21",f
640220,"Marc Roca","Spain U21",f
640231,"Antonio Ra\\u00edllo",,f
659490,"Gabriel Suazo",Chile,t
686460,"Santiago Colombatto","Argentina Under 22",t
698653,"Igor Zubeldia","Spain U21",f
956622,"\\u00d3scar Valent\\u00edn",,f
958640,"Akor Adams",Nigeria,t
1083323,Pedri,Spain,t
1117069,"Georges Mikautadze",Georgia,t
