name,team,league,position,apps,minutes,us_goals,us_npg,us_assists,us_shots,us_key_passes,us_yellow_cards,us_red_cards,us_xg,us_npxg,us_xa,us_xg_chain,us_xg_buildup,xg90,npxg90,xa90,xg90_xa90,npxg90_xa90,xgchain90,xgbuildup90,season,row_id,norm_name,source
Dmitrii Skopintcev,Dinamo Moscow,Russian Premier League,D M S,25,1454,0,0,3,17,18,2,0,0.7717,0.7717,2.7312,6.3723,4.4884,0.0478,0.0478,0.1691,0.2169,0.2169,0.3944,0.2778,2026/2027,9499,,
Vyacheslav Karavayev,Zenit St. Petersburg,Russian Premier League,D,2,169,0,0,1,0,3,0,0,0.0,0.0,0.6779,1.301,0.7258,0.0,0.0,0.361,0.361,0.361,0.6928,0.3865,2026/2027,9500,,
Konstantin Savichev,Akron,Russian Premier League,D,8,673,0,0,0,4,2,1,0,0.0929,0.0929,0.0679,0.4444,0.3224,0.0124,0.0124,0.0091,0.0215,0.0215,0.0594,0.0431,2026/2027,9501,,
Anton Zabolotny,Spartak Moscow,Russian Premier League,F S,9,147,0,0,0,3,1,0,1,0.0973,0.0973,0.1009,0.3522,0.154,0.0596,0.0596,0.0618,0.1214,0.1214,0.2156,0.0943,2026/2027,9502,,
Nikolay Kalinskiy,Nizhny Novgorod,Russian Premier League,D M S,9,411,0,0,0,5,13,1,0,0.2463,0.2463,0.8843,2.0838,1.461,0.0539,0.0539,0.1936,0.2475,0.2475,0.4563,0.3199,2026/2027,9503,,
Aleksey Gritsaenko,Rubin Kazan,Russian Premier League,D S,13,978,0,0,0,2,1,0,0,0.2394,0.2394,0.0717,0.7207,0.7207,0.022,0.022,0.0066,0.0286,0.0286,0.0663,0.0663,2026/2027,9504,,
Arsen Adamov,Zenit St. Petersburg,Russian Premier League,S,3,49,0,0,0,1,0,0,0,0.0113,0.0113,0.0,0.1273,0.1273,0.0208,0.0208,0.0,0.0208,0.0208,0.2338,0.2338,2026/2027,9505,,
Ivan Ignatyev,FC Orenburg,Russian Premier League,F S,5,115,0,0,0,1,2,0,0,0.7543,0.0,0.127,0.127,0.0,0.5903,0.0,0.0994,0.6897,0.0994,0.0994,0.0,2026/2027,9506,,
Danil Glebov,Dinamo Moscow,Russian Premier League,D M S,21,1542,0,0,1,7,11,2,0,0.4053,0.4053,0.9914,5.056,3.9121,0.0237,0.0237,0.0579,0.0816,0.0816,0.2951,0.2283,2026/2027,9507,,
Nikita Kakkoev,Nizhny Novgorod,Russian Premier League,D S,17,1162,0,0,1,3,8,3,0,0.0851,0.0851,0.2416,1.5361,1.3946,0.0066,0.0066,0.0187,0.0253,0.0253,0.119,0.108,2026/2027,9508,,
Yuri Dyupin,PFC Sochi,Russian Premier League,GK,10,900,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1322,0.1322,0.0,0.0,0.0,0.0,0.0,0.0132,0.0132,2026/2027,9509,,
Amir Mokhammad,Baltika,Russian Premier League,S,1,19,0,0,0,0,1,0,0,0.0,0.0,0.0125,0.0125,0.0,0.0,0.0,0.0592,0.0592,0.0592,0.0592,0.0,2026/2027,9510,,
Aleksey Sutormin,Krylya Sovetov Samara,Russian Premier League,D F S,17,700,0,0,0,6,10,1,0,0.352,0.352,0.3842,1.1562,0.5278,0.0453,0.0453,0.0494,0.0947,0.0947,0.1487,0.0679,2026/2027,9511,,
Daniil Khlusevich,"FK Akhmat,Spartak Moscow",Russian Premier League,D S,11,472,0,0,0,2,0,0,1,0.1685,0.1685,0.0,0.889,0.7837,0.0321,0.0321,0.0,0.0321,0.0321,0.1695,0.1494,2026/2027,9512,,
Roman Evgeniev,Krylya Sovetov Samara,Russian Premier League,D S,9,733,0,0,0,2,0,4,0,0.0599,0.0599,0.0,1.0045,1.0045,0.0074,0.0074,0.0,0.0074,0.0074,0.1233,0.1233,2026/2027,9513,,
Daniil Utkin,Baltika,Russian Premier League,S,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026/2027,9514,,
Wilmar Barrios,Zenit St. Petersburg,Russian Premier League,M S,30,2567,0,0,1,4,9,3,0,0.0844,0.0844,0.5505,5.074,4.6615,0.003,0.003,0.0193,0.0223,0.0223,0.1779,0.1634,2026/2027,9515,,
