analyst_name,best_tm_id,best_method,fuzzy_score,reep_id,fotmob_id,sofascore_id,fbref_id,understat_id
"Adama Traoré",364405,reep,,reep_p3c5352db,,1172372,f9edc384,
"Adamo Nagalo",800976,reep,,reep_paf543895,,1108094,1e1f3918,
"Adams Diabaté",1268390,manual,,,,,,
"Adamu Alhassan",647957,reep,,reep_p401b9c98,,994105,,
"Ade Adeyemo",839807,reep,,reep_pdee57cb6,,1088818,,
"Adebola Oluwo",919149,reep,,reep_p4f909956,,1405272,,
"Adedeji Oshilaja",195679,reep,,reep_p52e0a915,,,,
"Adem Avdic",952771,reep,,reep_pa7c17fa9,,1493918,,
"Adem Zorgane",592403,reep,,reep_p3dcec299,,1000472,392b5133,
"Ademola Lookman",406040,reep,,reep_p4ecaddd4,690516,824200,7c104bb7,5556
"Aden Baldwin",384264,reep,,reep_p72228c34,,824649,,
"Aden Flint",105324,reep,,reep_p897ea9d6,,146483,952672e1,
"Adi Kurti",903213,manual,,,,,,
"Adi Nalic",332875,reep,,reep_pe65454ed,,875437,ad597bf7,
"Adil Aouchiche",569385,reep,,reep_p209f71a9,,962877,b94b8be1,
"Adil Hamdani",1301102,reep,,reep_pa526216f,1853988,2369898,,
"Adilet Sadybekov",881434,reep,,reep_p030a583a,,1128502,,
"Adilson Malanda",847772,reep,,reep_p6de33228,,1095645,9d83969b,
"Adnan Januzaj",177847,reep,,reep_pfbc3e459,449241,328145,4737cebe,323
"Ado Onaiwu",308133,reep,,reep_pd6e64b3f,,489180,ff4df82e,
"Adri Fernández",1071596,fuzzy,88.8889,,,,,
"Adri Mehmeti",1193844,reep,,reep_p25df64aa,,1823640,5178f39c,
"Adrian Akande",666588,fuzzy,100,,,,,
"Adrian Barisic",625206,fuzzy,100,,,,,
"Adrian Beck",273669,reep,,reep_pff241082,794393,845742,,
"Adrian Benedyczak",454386,reep,,reep_p2e6d09b0,,928295,3f448184,
"Adrian Blake",875581,reep,,reep_p4df8d7f5,1365253,1214695,,10592
"Adrian Gill",938155,reep,,reep_p68412ca1,,1402897,,
"Adrian Lahdo",1231993,reep,,reep_p159ba3b4,1615459,1802689,,
"Adrian Lickunas",819369,manual,,,,,,
"Adrian Palacios",1041316,reep,,reep_pbf69ce93,,1393681,,
"Adrian Przyborek",1018395,reep,,reep_p8e34ef89,1435833,1466806,,
"Adrian Rus",421927,reep,,reep_p611274ec,,887011,9f5be87a,
"Adrian Segecic",867760,reep,,reep_p192a294b,,1125954,,
"Adrian Semper",317057,reep,,reep_p7ca45d12,747079,814876,f02dde20,
"Adrian Skogmar",1150261,reep,,reep_p68d74dee,,1503622,,
"Adrian Sut",433979,reep,,reep_p47eb6392,,839577,b2d26e0a,
"Adrian Svanbäck",1018784,reep,,reep_p911a153d,,1382909,,
"Adrian Zeljkovic",660545,reep,,reep_p3ec44957,,1088231,,
Adriano,5876,reep,,reep_p71ad06f0,,2063,4ec73d8a,
"Adriano Bregu",1008755,manual,,,,,,
"Adrien Rabiot",182913,reep,,reep_p26cf30b8,,250737,8794e251,
"Federico Ravaglia",390304,reep,,reep_p8cbb8484,793041,850952,6662d731,
"Adrien Tamèze",157507,reep,,reep_p166d9d12,426393,139235,8da74c05,
"Adrien Thibaut",1110023,fuzzy,100,,,,,
"Adrien Thomasson",215977,reep,,reep_p6519125b,317062,231946,c76b7567,
"Adrien Truffert",654539,reep,,reep_pab942ae8,1177358,999028,5d0e0a1f,8640
"Adrià Alti",466807,manual,,,,,,
"Adrià Pedrosa",501418,reep,,reep_p166efd00,927646,928672,,
Adrián,71271,reep,,reep_p817e4463,169756,50539,f76e6b4e,527
"Adrián Bernabé",466802,reep,,reep_p92627251,951714,934384,548672b4,8867
"Adrián Liso",1061122,reep,,reep_p640b0db0,1541825,1515554,,
"Adrián Marín",295414,reep,,reep_p17666caf,,547242,b7f2edff,
"Adrián Pérez",1205033,fuzzy,85.5,,,,,
"Adrián Riquelme",643119,fuzzy,90,,,,,
"Adrián de la Fuente",341263,reep,,reep_p90815a0e,952528,,5932c94a,
"Afimico Pululu",410649,reep,,reep_p4c17e7cb,,886127,32c016f8,
"Afonso Moreira",952282,reep,,reep_pc07e2f36,1367047,1215906,7f3f5aa6,
"Afonso Sousa",375378,reep,,reep_p477aa0d1,,855672,f3f47ebd,
"Agon Rexhaj",1015815,manual,,,,,,
"Agon Sadiku",648573,reep,,reep_p229934e3,,1047014,,
"Aguibou Camara",543529,reep,,reep_p6d6ec938,,906062,222dfffb,
"Agustin Resch",1501088,reep,,reep_pd70b1c66,,,2d870682,
"Agustín Albarracín",1104206,reep,,reep_pa84d175c,1473706,1464187,,
"Agustín Bouzat",422699,reep,,reep_p9ee6da80,,,a98f4de5,
"Agustín Ojeda",900213,reep,,reep_p98df0777,,,,
"Agustín Álvarez",577258,reep,,reep_p997631e1,,,,
"Ahmad Ghali",698812,reep,,reep_p113dfc7a,,1030309,,
"Ahmed Abdu",490819,reep,,reep_p8c4897c6,,1392248,e1e3c6a1,
"Ahmed Al Anazi",1229326,fuzzy,96.2963,,,,,
"Ahmed Al Ghamdi",466416,reep,,reep_p1528f602,,847002,4a2a3b44,
"Ahmed Al Julaydan",1060901,reep,,reep_pec52ee29,,,,
"Ahmed Al Kassar",177956,reep,,reep_pacf8779c,,,eedb42fd,
"Ahmed Al Nakhli",901257,reep,,reep_pb446a924,,,,
"Ahmed Al Shamrani",1065825,reep,,reep_p781bc7f4,,,,
"Florian Wiegele",393999,reep,,reep_p1b6cfbfc,,869476,,
"Ahmed Al Siyahi",1507276,reep,,reep_pacb5ff75,,,,
"Ahmed Ali Majrashi",672391,fuzzy,90,,,,,
"Ahmed Asiri",209499,reep,,reep_pa497cb45,,,,
"Ahmed Bahusayn",901111,reep,,reep_pf2bebbb2,,,,
"Ahmed Bamasud",514927,fuzzy,92.3077,,,,,
"Ahmed Gabal",1060901,fuzzy,85.5,,,,,
"Ahmed Hegazy",111524,reep,,reep_pa86b7d91,,159653,5540c9dc,3979
"Ahmed Kutucu",452084,reep,,reep_pda1e2dff,,906049,beda9675,
"Ahmed Omar",1161129,reep,,reep_pfcc26027,,,,
"Ahmed Qasem",833817,reep,,reep_pf12e717d,,1101887,27219ecb,
"Ahmed Sharahili",319552,reep,,reep_pb04874fa,,794331,8e9693fd,
"Ahmed Touba",325924,reep,,reep_pd85d929a,,856216,f25de136,
"Aidan Borland",1049905,reep,,reep_pd16565e4,,,,
"Aitor Fernández",118997,reep,,reep_pa2d85d7d,213471,99516,a01c3d54,
"Aitor Mañas",935232,reep,,reep_pdd5edbbf,1553663,,,
"Aitor Paredes",591916,reep,,reep_p34dbf909,1191407,959872,b906757a,
"Aitor Ruibal",378139,reep,,reep_p6b4d9f77,676533,893062,a55d8df5,
"Aiyegun Tosin",239647,reep,,reep_p42337a08,841395,875548,9c4f39b3,
"Gerónimo Rulli",229604,reep,,reep_p2788211d,,128383,625c144a,
"Ajani Fortune",793361,reep,,reep_p2d36278b,,1035631,6c3c3c3c,
"Ajay Matthews",985714,reep,,reep_p91e8a059,,1410180,,
"Aji Alese",502065,reep,,reep_p39aa0856,,934228,,10165
"Akeel Higgins",922476,fuzzy,100,,,,,
"Akin Famewo",425713,reep,,reep_p8dc7f8bf,,999810,9d9a71c1,8080
"Akin Odimayo",473544,reep,,reep_p4b43c06f,,1020763,1610fef3,
"Akor Adams",607034,reep,,reep_pe2651159,,946381,,
"Akseli Puukko",937939,reep,,reep_p5fb39438,,1383377,,
"Al Musrati",377641,fuzzy,90,,,,,
"Alaa Al Hejji",443937,reep,,reep_p43c72241,,,6d258576,
"Alaa Ghram",657796,reep,,reep_p9f45f6ef,,1011994,,
"Aladji Bamba",975347,reep,,reep_p1ad0317c,1695681,1868591,,
"Alaettin Ekici",1311982,reep,,reep_pba5d03b9,,2421366,,
"Alamara Djabi",1171600,reep,,reep_pad0a26ee,,,,
"Alan Browne",277697,reep,,reep_pd5c4519b,,247459,25dea15a,
